Category: All categories,,,
,,,
Region,milkshake: (2/1/24 - 2/28/25),Hamburger: (2/1/24 - 2/28/25),Breakup: (2/1/24 - 2/28/25)
North Carolina,10%,75%,15%
Alabama,10%,76%,14%
South Carolina,9%,77%,14%
Pennsylvania,10%,73%,17%
Tennessee,8%,77%,15%
Georgia,8%,75%,17%
Virginia,9%,74%,17%
West Virginia,8%,76%,16%
Maryland,9%,72%,19%
Kentucky,7%,78%,15%
Ohio,7%,76%,17%
Delaware,8%,76%,16%
Florida,7%,76%,17%
Mississippi,6%,80%,14%
Indiana,6%,77%,17%
Illinois,6%,77%,17%
New Jersey,6%,73%,21%
Oregon,6%,78%,16%
Idaho,5%,78%,17%
New Hampshire,6%,78%,16%
Michigan,5%,78%,17%
Utah,5%,80%,15%
District of Columbia,6%,76%,18%
Arizona,5%,79%,16%
Washington,5%,78%,17%
California,5%,77%,18%
Louisiana,5%,79%,16%
Missouri,4%,80%,16%
Connecticut,5%,77%,18%
Massachusetts,6%,74%,20%
New York,6%,75%,19%
Texas,5%,79%,16%
Nevada,5%,79%,16%
Arkansas,5%,80%,15%
Colorado,5%,79%,16%
Rhode Island,5%,79%,16%
Montana,4%,82%,14%
Vermont,5%,79%,16%
Alaska,4%,81%,15%
Maine,4%,81%,15%
Wyoming,4%,81%,15%
Oklahoma,3%,83%,14%
Nebraska,4%,82%,14%
Hawaii,4%,81%,15%
Kansas,4%,79%,17%
New Mexico,4%,79%,17%
Iowa,3%,82%,15%
Wisconsin,4%,80%,16%
South Dakota,3%,85%,12%
North Dakota,3%,82%,15%
Minnesota,3%,79%,18%
